Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z,Nearest Neighbors 1,Nearest Neighbors 2,Nearest Neighbors 3,Nearest Neighbors 4,Nearest Neighbors 5
American Flagfish,/species-spotlight/american-flagfish/,Jordanellafloridae,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Semi-Aggressive,Middle - Top,Omnivore,7.5,12.5,23.9,7.0,NAM,2.989985,5.7064524,0.91716456,Giant Colombian Ramshorn Snail,Assassin Snail,Red Neon Blue Eye Rainbowfish,Celebes Rainbowfish,Picta Swamp Guppy
Apple Snail,/species-spotlight/apple-snail/,"Pomaceabridgesii,Pomaceacanaliculata,Pomaceadiffusa,Pomaceahaustrum,Pomaceapaludosa,Pomaceamaculata",Gastropoda,Architaenioglossa,Ampullariidae,Peaceful,All Levels,Omnivore,7.25,9.0,23.05,15.0,NAM,-2.4196813,-2.0395832,1.0851119,Flag Cichlid,Convict Cichlid,Rainbow Cichlid,Electric Blue Jack Dempsey,Clown Barb
Araguaia Corydoras,/species-spotlight/araguaia-corydoras/,Corydorasaraguaiaensis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,7.0,13.5,23.5,6.0,SA,-12.455409,-2.5548525,0.8887848,Reticulated Corydoras,Twostripe Corydoras,Slant Bar Corydoras,Schwartzs Corydoras,False Bandit Corydoras
Armatus Corydoras,/species-spotlight/armatus-corydoras/,Corydorasarmatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,8.5,24.45,6.5,SA,-12.532354,1.1258163,-2.378586,Rusty Corydoras,Black Venezuela Corydoras,Flagtail Corydoras,Gold Laser Corydoras,Xingu Corydoras
Arulius Barb,/species-spotlight/arulius-barb/,Puntiusarulius,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,7.0,8.5,21.5,10.0,AS,-4.425371,1.4628786,0.13301966,Malabar Danio,Meghalaya Danio,Mascara Barb,Yoma Danio,Black Barred Danio
Assam Danio,/species-spotlight/assam-danio/,Devarioassamensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,18.35,10.0,AS,-3.8359292,1.8648115,1.4911418,Snyders Barb,Yoma Danio,Bengal Danio,Malabar Danio,Meghalaya Danio
Assassin Snail,/species-spotlight/assassin-snail/,"CleaHelena,Anentomehelena",Gastropoda,Neogastropoda,Nassariidae,Peaceful,Bottom,Omnivore,7.6,17.5,24.7,2.0,AS,3.5849903,5.7699265,-0.3212457,Red Neon Blue Eye Rainbowfish,Giant Colombian Ramshorn Snail,Forktail Blue Eye Rainbowfish,Sahul Rainbowfish,American Flagfish
Axelrods Corydoras,/species-spotlight/axelrods-corydoras/,Corydorasaxelrodi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,12.5,24.15,5.0,SA,-12.991284,-1.2685851,1.3722581,Smudge Spot Corydoras,Leopard Corydoras,Hikari Corydoras,Vulcan Corydoras,False Bandit Corydoras
Bala Shark,/species-spotlight/bala-shark/,BalantiocheilosMelanopterus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,6.0,25.0,35.0,AS,-0.7725427,-3.767385,-0.6110896,Tinfoil Barb,Discus,Black Banded Leporinus,Pink Tail Chalceus,Electric Blue Jack Dempsey
Banded Apistogramma,/species-spotlight/banded-apistogramma/,Apistogrammabitaeniata,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,5.75,5.0,26.95,8.0,SA,-8.113312,2.237156,-3.0969968,Blue Panda Apistogramma,Redline Apistogramma,Macmasters Apistogramma,Checkerboard Cichlid,African Butterfly Cichlid
Banded Corydoras,/species-spotlight/banded-corydoras/,Scleromystaxbarbatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,23.9,10.0,SA,-10.568893,-2.2939708,0.13657716,Pulcher Corydoras,Schwartzs Corydoras,Bronze Corydoras Var Longfin,Twostripe Corydoras,Reticulated Corydoras
Banded Rainbowfish,/species-spotlight/banded-rainbowfish/,Melanotaeniatrifasciata,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.5,16.5,23.55,13.0,OC,1.9597157,4.4426394,-1.7958444,Lake Kutubu Rainbowfish,Parkinsons Rainbowfish,Red Rainbowfish,Boesemans Rainbowfish,Celebes Rainbowfish
Bandit Corydoras,/species-spotlight/bandit-corydoras/,Corydorasmetae,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,23.0,5.0,SA,-13.209943,0.6386899,-0.42400032,Venezuelan Orange Corydoras,Peppered Corydoras,Panda Corydoras,Flag Tailed Panda Corydoras,Adolfos Catfish
Barred Danio,/species-spotlight/barred-danio/,Devariopathirana,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,7.0,12.0,23.35,8.0,AS,-6.1461363,1.2606839,1.6099216,African Red Eyed Tetra,Redfin Congo Tetra,Congo Tetra,Blue Eyed Congo Tetra,Gold Striped Danio
Barred Pencilfish,/species-spotlight/barred-pencilfish/,Nannostomusespei,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.0,7.0,24.75,3.0,SA,13.104596,1.2643368,-1.7972277,Dwarf Pencilfish,Purple Pencilfish,Cenepa Red Pencilfish,Coral Red Pencilfish,Hockeystick Pencilfish
Bengal Danio,/species-spotlight/bengal-danio/,Devariodevario,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Top,Omnivore,7.0,12.5,20.55,8.0,AS,-4.410346,2.5089986,2.363222,Snyders Barb,Pearl Danio,Assam Danio,White Cloud Mountain Minnow,Yoma Danio
Black Banded Leporinus,/species-spotlight/black-banded-leporinus/,Leporinusfasciatus,Actinopterygii,Characiformes,Anostomidae,Peaceful,Middle,Omnivore,6.5,12.5,25.0,30.0,SA,0.74577004,-4.0518465,-0.46179736,Pink Tail Chalceus,Titanic Plecostomus,Green Tiger Loach,Galaxy Plecostomus L029,Royal Plecostomus
Black Bar Endler,/species-spotlight/black-bar-endler/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.75,25.0,26.95,2.5,SA,2.8327649,3.3109958,0.97536856,El Tigre Endler,Mollies,Swordtail,Platies,Buenos Aires Tetra
Black Barred Danio,/species-spotlight/black-barred-danio/,Danioabsconditus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,21.95,8.0,AS,-4.957558,2.5130982,0.17624551,Yoma Danio,Mahecola Barb,Mascara Barb,Arulius Barb,Meghalaya Danio
Black Darter Tetra,/species-spotlight/black-darter-tetra/,Poecilocharaxweitzmani,Actinopterygii,Characiformes,Crenuchidae,Peaceful,Middle - Top,Carnivore,5.0,5.5,25.85,4.0,SA,12.492873,-0.47015783,-0.21932855,Rosy Tetra,Eilyos Tetra,Steel Blue Tetra,Gold Shoulder Rosy Tetra,Brittanichthys Axelrodi Tetra
Black Diamond Corydoras CW49,/species-spotlight/black-diamond-corydoras-cw49/,Corydorassp,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,11.0,25.0,6.0,SA,-13.150952,-0.6124793,-1.4716964,Desana Corydoras,Concolour Corydoras,Albino Corydoras,Bronze Corydoras,Fulleri Corydoras
Black Line Rasbora,/species-spotlight/black-line-rasbora/,Rasboraborapetensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,23.9,6.0,AS,-6.526914,3.9665227,0.12535353,African Banded Barb,Red Line Rasbora,Laos Danio,Fireline Danio,Snakeskin Barb
Black Line Tetra,/species-spotlight/black-line-tetra/,Hyphessobryconscholzei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,7.25,14.0,25.0,5.0,SA,5.6075864,2.4773014,1.3547676,Serpae Tetra,Copei Tetra,Fire Green Tetra,Silvertip Tetra,Head and Taillight Tetra
Black Neon Tetra,/species-spotlight/black-neon-tetra/,Hyphessobryconherbertaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.25,3.5,23.05,4.0,SA,12.308138,-2.363605,0.11612357,Blueberry Tetra,Sailfin Tetra,Frankei Tetra,Cardinal Tetra,Brittanichthys Axelrodi Tetra
Black Phantom Tetra,/species-spotlight/black-phantom-tetra/,Hyphessobryconmegalopterus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,6.5,10.5,25.0,3.5,SA,8.534729,1.9296674,2.006649,Flag Tetra,Golden Tetra,Red Devil Tetra,Red Line Tetra,Pink Lemon Tetra
Black Rose Shrimp,/species-spotlight/black-rose-shrimp/,NeocaridinaDavidi,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,6.0,23.85,4.0,AS,-5.9765573,9.572294,0.563216,Red Rili Shrimp,Green Jade Shrimp,Gold Nebula Shrimp,Green Babaulti Shrimp,Chocolate Shrimp
Black Ruby Barb,/species-spotlight/black-ruby-barb/,Pethianigrofasciata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,24.15,5.0,AS,-5.8622065,5.1477284,0.44922495,Volcano Rasbora,Indian Hifin Barb,Harlequin Rasbora,Rose Danio,Blue Danio
Black Sharkminnow,/species-spotlight/black-sharkminnow/,Labeochrysophekadion,Actinopterygii,Cypriniformes,Cyprinidae,Aggressive,Bottom - Middle,Omnivore,7.0,15.0,23.0,90.0,AS,-0.5024655,-6.8378716,0.08027571,Six Banded Distichodus,Mbu Pufferfish,Giant Gourami,Tiger Shovelnose Catfish,Giant Red Tail Gourami
Black Venezuela Corydoras,/species-spotlight/black-venezuela-corydoras/,"Corydorasschultzei""BlackVenezuela""",Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,8.5,25.0,6.0,SA,-12.961017,1.2673874,-2.4900117,Armatus Corydoras,Rusty Corydoras,Xingu Corydoras,Horsemans Corydoras,Flagtail Corydoras
Black Widow Tetra,/species-spotlight/black-widow-tetra/,Gymnocorymbusternetzi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,12.5,22.8,7.5,SA,5.66893,1.47776,-0.113887966,Blackline Tail Tetra,Glass Bloodfin Tetra,Redfin Penguin Tetra,Xingu Black Neon Tetra,Copei Tetra
Blackfin Pearl Killifish,/species-spotlight/blackfin-pearl-killifish/,Austrolebiasnigripinnis,Actinopterygii,Cyprinodontiformes,Rivulidae,Semi-Aggressive,Bottom - Middle,Omnivore,6.5,12.5,20.85,5.0,SA,6.568711,3.1966286,-1.2245822,Dusky Millions Fish,Red Phantom Tetra,Toucan Tetra,Fire Green Tetra,Merry Widow Livebearer
Blackline Tail Tetra,/species-spotlight/blackline-tail-tetra/,Moenkhausiacostae,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,11.5,24.0,6.0,SA,6.551683,1.4884874,0.23432209,Xingu Black Neon Tetra,Penguin Tetra,Glass Bloodfin Tetra,Black Widow Tetra,Redfin Penguin Tetra
Blacktop Corydoras,/species-spotlight/blacktop-corydoras/,Corydorasacutus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.75,5.5,SA,-11.991588,-1.8076012,1.7987365,Leopard Corydoras,Twostripe Corydoras,Elegant Corydoras,Agassizs Corydoras,Reticulated Corydoras
Bleeding Blue Tetra,/species-spotlight/bleeding-blue-tetra/,Hyphessobryconmargitae,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.0,5.0,SA,8.0444145,0.963828,0.7995486,Raccoon Tetra,Red Base Tetra,Pink Lemon Tetra,Infernal Tetra,Dawn Tetra
Bleeding Heart Tetra,/species-spotlight/bleeding-heart-tetra/,Hyphessobryconerythrostigma,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,7.0,10.0,25.0,8.0,SA,6.490336,-0.56034464,0.14290822,Colombian Redfin Tetra,Infernal Tetra,Striped Leporinus,Red Banded Leporinus,Imperial Tetra
Blood Tailed Danio,/species-spotlight/blood-tailed-danio/,Devarioannandalei,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,7.0,10.0,23.9,10.0,AS,-5.6395173,0.69370747,0.39370435,Blue Eyed Congo Tetra,Mascara Barb,Meghalaya Danio,Giant Danio,African Glass Catfish
Bloodfin Tetra,/species-spotlight/bloodfin-tetra/,Aphyocharaxanisitsi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,7.5,22.8,5.5,SA,9.861162,-1.305744,0.20771651,Blue Purple Emperor Tetra,Flameback Bleeding Heart Tetra,Six Stripes Tetra,Pretty Tetra,Red Line Lizard Tetra
Bloody Mary Shrimp,/species-spotlight/bloody-mary-shrimp/,Neocaridinadavidi,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom,Omnivore,6.9,8.0,23.35,4.0,AS,-4.9288483,7.214052,2.4260433,Amano Shrimp,Wild Type Tiger Shrimp,Tangerine Tiger Shrimp,Orange Rili Shrimp,Indian Hifin Barb
Blue Botia,/species-spotlight/blue-botia/,Yasuhikotakiamodesta,Actinopterygii,Cypriniformes,Botiidae,Semi-Aggressive,Bottom,Omnivore,6.75,10.0,26.1,18.0,AS,3.2019293,-3.2400203,-0.34714565,Royal Whiptail Catfish,Marble Sturisoma Whiptail Catfish,Clown Loach,Snowball Plecostomus L102,Yoyo Loach
Blue Danio,/species-spotlight/blue-danio/,Daniokerri,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,23.9,4.5,AS,-6.477535,4.8263693,1.4334282,Lipstick Barb,Rose Danio,Hikari Danio,Black Ruby Barb,Harlequin Rasbora
Blue Eyed Congo Tetra,/species-spotlight/blue-eyed-congo-tetra/,Phenacogrammusaurantiacus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.75,10.5,25.0,10.0,AF,-6.148067,0.5060514,0.645777,Blood Tailed Danio,Giant Danio,African Glass Catfish,Barred Danio,Kribensis Cichlid
Blue Leg Poso Sulawesi Shrimp,/species-spotlight/blue-leg-poso-sulawesi-shrimp/,Caridinacaerulea,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.75,6.0,28.0,2.5,AS,-6.3623643,9.804787,-1.442773,Sulawesi Red Line Shrimp,Sulawesi Harlequin Shrimp,Yellow Nose Sulawesi Shrimp,Tigris Sulawesi Shrimp,Sulawesi Fan Shrimp
Blue Line Rasbora,/species-spotlight/blue-line-rasbora/,Rasborasarawakensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,23.9,5.0,AS,-6.9500136,5.074196,-0.6223517,Fire Bar Danio,Snakeskin Barb,Panther Danio,Harlequin Rasbora,Emerald Eye Rasbora
Blue Panda Apistogramma,/species-spotlight/blue-panda-apistogramma/,"Apistogrammapanduro,Apistogrammapandurini",Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,5.25,5.0,25.3,7.5,SA,-8.130875,2.4637291,-3.1362224,Macmasters Apistogramma,Redline Apistogramma,Banded Apistogramma,Checkerboard Cichlid,African Butterfly Cichlid
Blue Purple Emperor Tetra,/species-spotlight/blue-purple-emperor-tetra/,Inpaichthyskerri,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,7.5,24.0,4.0,SA,10.4340725,-0.48893878,0.7830912,Pretty Tetra,Gold Shoulder Rosy Tetra,Rainbow Tetra,Bloodfin Tetra,Phoenix Tetra
Blue Spot African Tetra,/species-spotlight/blue-spot-african-tetra/,Brycinuspoptae,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,7.0,12.5,24.75,16.0,AF,-4.670262,-2.3021343,0.1636777,Yellowtail Rasbora,Rainbow Shark,Red Tailed Black Shark,Jewel Cichlid,Marliers Julie
Blue Spotted Hill Trout,/species-spotlight/blue-spotted-hill-trout/,Bariliusbakeri,Actinopterygii,Cypriniformes,Cyprinidae,Semi-Aggressive,Middle - Top,Omnivore,6.75,6.0,21.95,15.0,AS,-3.9431968,-0.6265117,-1.7914816,Scissortail Rasbora,Porthole Rasbora,Silver Flying Fox,True Flying Fox,Rohani Barb
Blue Star Endlers,/species-spotlight/blue-star-endlers/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,Middle - Top,Omnivore,7.75,8.5,26.95,2.5,SA,6.352634,6.0507255,-0.7305012,Staeck Endler,Normans Lampeye Killifish,Merry Widow Livebearer,Melanzona Guppy,Picta Swamp Guppy
Blue Striped Rivulus Killifish,/species-spotlight/blue-striped-rivulus-killifish/,"RivulusXiphidius,Laimosemionxiphidius",Actinopterygii,Cyprinodontiformes,Rivulidae,Peaceful,Middle - Top,Omnivore,6.25,4.0,23.9,4.5,SA,11.564066,-3.359874,-0.30155787,Clown Killifish,Blueberry Tetra,Black Neon Tetra,Flameback Bleeding Heart Tetra,Lemon Tetra
Blueberry Tetra,/species-spotlight/blueberry-tetra/,Hyphessobryconwadai,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.25,3.5,23.05,2.5,SA,12.361213,-2.4658678,0.18030293,Black Neon Tetra,Sailfin Tetra,Frankei Tetra,Cardinal Tetra,Brittanichthys Axelrodi Tetra
Bluefin Notho,/species-spotlight/bluefin-notho/,Nothobranchiusrachovii,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Bottom,Omnivore,6.75,6.5,21.95,6.0,AF,8.409721,-4.3810716,0.07272125,Steel Blue Lyretail Killifish,Mamou Killifish,Red Chinned Panchax,Splendid Killifish,Lyretail Killifish
Boesemans Rainbowfish,/species-spotlight/boesemans-rainbowfish/,MelanotaeniaBoesemani,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.25,15.0,28.0,13.0,OC,1.813037,4.5420814,-2.0131736,Red Rainbowfish,Banded Rainbowfish,Parkinsons Rainbowfish,Lake Kutubu Rainbowfish,Lake Tebera Rainbowfish
Bolivian Ram Cichlid,/species-spotlight/bolivian-ram-cichlid/,Mikrogeophagusaltispinosus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,6.75,10.0,24.45,8.0,SA,-7.9918237,1.0354364,0.0082640685,Redbreasted Acara,Transvestite Dwarf Cichlid,German Blue Ram Cichlid,Cockatoo Dwarf Cichlid,Electric Blue Ram Cichlid
Borneo Red Fin Silver Shark,/species-spotlight/borneo-red-fin-silver-shark/,Cyclocheilichthysjanthochir,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,5.5,6.5,24.2,20.0,AS,-3.080111,-1.7598667,-1.5905527,Spanner Barb,Silver Flying Fox,True Flying Fox,Scissortail Rasbora,False Siamese Algae Eater
Bristlenose Pleco,/species-spotlight/bristlenose-pleco/,AncistrusCirrhosus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.8,16.0,25.0,12.5,NAM,3.7989187,0.51703966,0.16211471,Mexican Tetra,Bucktooth Tetra,Buenos Aires Tetra,Black Widow Tetra,Platies
Brittanichthys Axelrodi Tetra,/species-spotlight/brittanichthys-axelrodi-tetra/,Brittanichthysaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,3.0,26.1,3.0,SA,13.019341,-1.6542996,-0.39918932,Cardinal Tetra,Frankei Tetra,Sailfin Tetra,Black Neon Tetra,Blueberry Tetra
Broken Line Tetra,/species-spotlight/broken-line-tetra/,Hemigrammusulreyi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,24.5,5.0,SA,9.2079115,-0.0070100054,0.35163987,Lipstick Tetra,Red Laser Tetra,Glowlight Tetra,Costello Tetra,Kogal Blue Eyed Tetra
Bronze Corydoras,/species-spotlight/bronze-corydoras/,CorydorasAeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,25.3,7.0,SA,-12.835518,-0.08548457,-2.270962,Desana Corydoras,Concolour Corydoras,Albino Corydoras,Fulleri Corydoras,Green Laser Corydoras
Bronze Corydoras Var Longfin,/species-spotlight/bronze-corydoras---longfin/,Corydorasaeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,15.0,24.5,7.0,SA,-11.331445,-2.7284017,1.2835218,Pulcher Corydoras,Schwartzs Corydoras,Reticulated Corydoras,Twostripe Corydoras,Yellow Tailed Congo Tetra
Bucktooth Tetra,/species-spotlight/bucktooth-tetra/,Exodonparadoxus,Actinopterygii,Characiformes,Characidae,Aggressive,Middle - Top,Carnivore,6.5,12.5,24.5,12.0,SA,4.8041615,0.22993359,-0.111740634,Bristlenose Pleco,Mexican Tetra,Black Widow Tetra,Red Banded Leporinus,Striped Leporinus
Buenos Aires Tetra,/species-spotlight/buenos-aires-tetra/,Hyphessobryconanisitsi,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle - Top,Omnivore,7.0,18.5,22.8,7.0,SA,4.150358,2.3506162,0.4644814,Platies,Copei Tetra,Coffee Bean Tetra,Mexican Tetra,Swordtail
Bumblebee Goby,/species-spotlight/bumblebee-goby/,Brachygobiusdoriae,Actinopterygii,Gobiiformes,Gobiidae,Semi-Aggressive,Bottom - Middle,Carnivore,7.5,5.5,24.45,4.2,AS,8.904539,-6.6157284,-1.1431248,Golden Malili Goby,Toba Betta,Licorice Gourami,Chocolate Gourami,Red Skirt Betta
Butterfly Barb,/species-spotlight/butterfly-barb/,Barbushulstaerti,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,5.5,3.0,20.3,3.5,AF,-9.47641,5.275678,-2.1453257,Jae Barb,Neon Blue Rasbora,Dwarf Rasbora,Checker Barb,Drape Fin Barb
Butterfly Plecostomus L168,/species-spotlight/butterfly-plecostomus-l168/,DekeyseriaBrachyura,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.25,7.0,26.0,15.0,SA,3.8355088,-3.122609,0.5552256,Green Phantom Plecostomus,Snowball Plecostomus L102,Clown Loach,Yoyo Loach,Golden Bristlenose Plecostomus
Cardinal Sulawesi Shrimp,/species-spotlight/cardinal-sulawesi-shrimp/,CaridinaDennerli,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,7.9,7.0,27.2,2.5,AS,-6.4518957,8.904616,-1.9028066,Tigris Sulawesi Shrimp,Sulawesi Harlequin Shrimp,Yellow Nose Sulawesi Shrimp,Blue Leg Poso Sulawesi Shrimp,Sulawesi Red Line Shrimp
Cardinal Tetra,/species-spotlight/cardinal-tetra/,Paracheirodonaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,3.0,26.0,5.0,SA,12.966868,-1.7338899,-0.36995837,Brittanichthys Axelrodi Tetra,Frankei Tetra,Sailfin Tetra,Black Neon Tetra,Blueberry Tetra
